                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0594,                 2.6834,                 1.3867,                0.96063,                0.06621,                0.58397,                0.43294,                0.81168,                 3.1145,                 1.2922,             0.00031438,             0.00031438,             0.00031438
                      1,                  1.145,                 1.9625,                 1.4129,                0.50369,                0.47118,                0.53705,                0.34529,                 1.2115,                 2.7489,                 1.8085,             0.00063987,             0.00063987,             0.00063987
                      2,                 1.1126,                  1.748,                 1.3892,                0.62816,                0.51717,                0.60226,                0.41224,                 1.2543,                 2.7061,                 1.7551,              0.0009621,              0.0009621,              0.0009621
                      3,                  1.133,                 1.7089,                 1.3913,                0.59037,                0.62467,                0.60641,                0.37973,                 1.5309,                 2.9801,                 2.0988,              0.0012811,              0.0012811,              0.0012811
                      4,                 1.1604,                  1.676,                 1.4318,                0.64787,                0.45051,                0.52643,                 0.3442,                 1.5226,                  2.886,                 2.0983,              0.0014007,              0.0014007,              0.0014007
                      5,                 1.1868,                  1.668,                 1.4479,                0.43912,                0.40976,                0.37524,                 0.2175,                 1.9318,                 3.0097,                 2.3612,              0.0014007,              0.0014007,              0.0014007
                      6,                 1.1281,                 1.5334,                 1.4141,                0.51673,                0.54803,                0.53438,                0.36432,                 1.4095,                 2.3487,                 1.8879,              0.0013936,              0.0013936,              0.0013936
                      7,                 1.1745,                 1.5842,                 1.4201,                0.68645,                0.53657,                0.58527,                0.39816,                 1.4006,                 2.7884,                 1.8682,              0.0013866,              0.0013866,              0.0013866
                      8,                 1.1634,                 1.4628,                 1.4176,                0.71669,                0.54838,                 0.6746,                0.45251,                 1.2629,                 2.3669,                 1.6437,              0.0013795,              0.0013795,              0.0013795
                      9,                 1.1596,                 1.4579,                 1.4186,                0.63641,                0.48162,                0.56889,                 0.3526,                 1.5441,                 2.4224,                 1.8673,              0.0013724,              0.0013724,              0.0013724
                     10,                 1.1635,                  1.418,                 1.4277,                0.65766,                0.57559,                0.59757,                0.42038,                 1.3371,                 2.3602,                 1.7647,              0.0013653,              0.0013653,              0.0013653
                     11,                 1.1541,                  1.369,                 1.4243,                0.72937,                0.49349,                0.56899,                0.38356,                 1.4435,                 2.1573,                 1.9183,              0.0013583,              0.0013583,              0.0013583
                     12,                 1.1167,                 1.2524,                 1.3961,                0.71569,                0.45304,                0.56114,                0.34758,                 1.6224,                 2.4715,                 1.9651,              0.0013512,              0.0013512,              0.0013512
                     13,                 1.1031,                 1.2708,                 1.3441,                0.64164,                0.69491,                0.71519,                0.49172,                 1.4044,                 1.7705,                   1.79,              0.0013441,              0.0013441,              0.0013441
                     14,                 1.1256,                 1.3111,                 1.4229,                0.79454,                0.66981,                0.75534,                0.52256,                 1.2307,                 1.5621,                 1.6009,               0.001337,               0.001337,               0.001337
                     15,                 1.0589,                 1.2313,                 1.3387,                0.83782,                0.62263,                 0.7597,                0.53097,                 1.2754,                 1.7379,                 1.6599,                0.00133,                0.00133,                0.00133
                     16,                 1.0739,                 1.2069,                 1.3632,                0.74967,                0.70664,                0.76517,                0.54276,                 1.1315,                 1.5624,                 1.5576,              0.0013229,              0.0013229,              0.0013229
                     17,                 1.0298,                 1.1534,                 1.3254,                0.70144,                0.62502,                0.67295,                 0.4787,                   1.15,                 1.7371,                 1.6736,              0.0013158,              0.0013158,              0.0013158
                     18,                 1.0222,                 1.1985,                 1.3462,                0.80173,                0.66619,                0.75998,                0.51775,                 1.2048,                 1.4527,                 1.5985,              0.0013087,              0.0013087,              0.0013087
                     19,                 1.1229,                 1.2162,                 1.3703,                 0.8344,                0.63593,                0.76579,                0.53121,                  1.244,                 1.6032,                 1.6838,              0.0013017,              0.0013017,              0.0013017
                     20,                0.98857,                 1.0664,                 1.3054,                0.78449,                0.64312,                0.76658,                0.54101,                 1.2683,                 1.5762,                 1.7109,              0.0012946,              0.0012946,              0.0012946
                     21,                 1.0311,                 1.0929,                 1.3142,                0.74069,                0.70112,                0.72448,                0.53024,                 1.1652,                  1.478,                 1.6261,              0.0012875,              0.0012875,              0.0012875
                     22,                 1.0178,                 1.0656,                 1.3042,                0.70543,                0.66768,                0.68382,                0.52152,                 1.2248,                 1.6094,                 1.5711,              0.0012805,              0.0012805,              0.0012805
                     23,                  1.038,                 1.0459,                 1.3295,                0.76674,                 0.6756,                0.75567,                0.56171,                 1.1288,                 1.2354,                 1.5258,              0.0012734,              0.0012734,              0.0012734
                     24,                0.98399,                0.95517,                 1.2743,                 0.8147,                0.72254,                0.79624,                0.57803,                 1.1238,                 1.2188,                 1.5312,              0.0012663,              0.0012663,              0.0012663
                     25,                0.98913,                  1.018,                 1.2926,                0.80415,                0.71545,                0.79134,                0.60653,                 1.0697,                 1.3543,                 1.4874,              0.0012592,              0.0012592,              0.0012592
                     26,                0.99508,                 1.0295,                  1.316,                0.64835,                 0.6381,                0.66839,                0.50684,                 1.1521,                 1.6369,                 1.5003,              0.0012522,              0.0012522,              0.0012522
                     27,                 1.0161,                 1.0127,                 1.3008,                 0.6562,                0.73504,                0.74239,                 0.5608,                 1.0463,                 1.4855,                 1.4459,              0.0012451,              0.0012451,              0.0012451
                     28,                0.91665,                0.96383,                 1.2446,                0.78018,                0.63112,                0.74508,                 0.5772,                 1.0292,                 1.5007,                  1.484,               0.001238,               0.001238,               0.001238
                     29,                0.95004,                0.93833,                 1.2327,                0.73042,                  0.713,                0.73855,                0.56826,                0.99609,                 1.3168,                 1.4386,              0.0012309,              0.0012309,              0.0012309
                     30,                0.96786,                 0.9163,                  1.296,                0.69589,                0.76633,                0.78718,                0.58319,                  1.088,                 1.2725,                 1.4754,              0.0012239,              0.0012239,              0.0012239
                     31,                0.91242,                0.91059,                 1.2672,                0.75728,                0.65118,                0.73781,                0.56902,                 1.1329,                 1.2246,                 1.5005,              0.0012168,              0.0012168,              0.0012168
                     32,                 1.0068,                 0.9491,                 1.3063,                0.65654,                0.73461,                0.69678,                0.52379,                 1.1517,                 1.3513,                 1.4916,              0.0012097,              0.0012097,              0.0012097
                     33,                0.94125,                0.89446,                 1.2525,                0.68794,                0.69486,                0.73354,                0.54996,                 1.0912,                  1.431,                 1.5261,              0.0012026,              0.0012026,              0.0012026
                     34,                0.96741,                 0.8815,                 1.2669,                 0.7302,                0.66711,                0.68787,                0.49794,                 1.1728,                 1.6687,                 1.5738,              0.0011956,              0.0011956,              0.0011956
                     35,                0.93727,                0.89292,                 1.2654,                0.74944,                0.61088,                0.73314,                0.53336,                   1.11,                 1.2908,                 1.5716,              0.0011885,              0.0011885,              0.0011885
                     36,                0.93455,                0.88443,                 1.2619,                0.67309,                0.78137,                0.76975,                0.60481,                 1.0283,                 1.1297,                 1.4166,              0.0011814,              0.0011814,              0.0011814
                     37,                0.93091,                0.85513,                 1.2507,                0.82614,                0.72001,                0.79577,                0.60927,                 0.9982,                  1.148,                 1.3873,              0.0011744,              0.0011744,              0.0011744
                     38,                0.88683,                0.82837,                 1.2114,                0.82684,                0.76531,                 0.8389,                0.63996,                 0.9695,                0.99612,                 1.3472,              0.0011673,              0.0011673,              0.0011673
                     39,                0.91157,                 0.8918,                 1.2409,                0.82325,                0.63402,                0.72743,                0.52401,                 1.0696,                 1.3462,                 1.5095,              0.0011602,              0.0011602,              0.0011602
                     40,                0.88835,                0.78179,                 1.2332,                0.81998,                0.69643,                0.77116,                0.60488,                0.98546,                 1.1832,                 1.3607,              0.0011531,              0.0011531,              0.0011531
                     41,                0.91413,                 0.8071,                 1.2294,                0.72568,                0.71677,                0.77779,                0.58363,                 1.0433,                 1.2707,                 1.4441,              0.0011461,              0.0011461,              0.0011461
                     42,                0.88091,                0.79322,                 1.2179,                0.75491,                0.73122,                0.78405,                0.58253,                 1.1562,                 1.1826,                 1.5198,               0.001139,               0.001139,               0.001139
                     43,                0.89903,                0.80829,                 1.2217,                 0.8153,                0.70674,                  0.778,                0.58349,                 1.0526,                 1.2072,                  1.467,              0.0011319,              0.0011319,              0.0011319
                     44,                0.83474,                0.75071,                 1.1939,                 0.7947,                0.70486,                0.79189,                0.61103,                0.99479,                 1.1379,                 1.4187,              0.0011248,              0.0011248,              0.0011248
                     45,                0.93884,                0.86405,                 1.2404,                 0.7937,                0.70486,                0.78794,                0.60662,                 1.0272,                 1.1507,                 1.4069,              0.0011178,              0.0011178,              0.0011178
                     46,                0.85064,                  0.775,                 1.1894,                0.81597,                0.74579,                0.81594,                0.62668,                 1.0357,                 1.1388,                 1.4264,              0.0011107,              0.0011107,              0.0011107
                     47,                0.87794,                0.75545,                 1.2125,                0.77781,                0.79205,                0.80201,                0.61846,                 1.0334,                0.95847,                 1.4026,              0.0011036,              0.0011036,              0.0011036
                     48,                0.91066,                 0.8049,                 1.2429,                0.76671,                0.80765,                0.80312,                0.61009,                  1.019,                 1.0752,                 1.3981,              0.0010965,              0.0010965,              0.0010965
                     49,                0.90793,                 0.7846,                  1.219,                0.79824,                0.76851,                0.84551,                0.63488,                 1.0127,                 1.0128,                  1.345,              0.0010895,              0.0010895,              0.0010895
                     50,                0.87099,                0.75849,                 1.2054,                0.84507,                0.76733,                0.83376,                0.62949,                 1.0414,                 1.0213,                 1.4621,              0.0010824,              0.0010824,              0.0010824
                     51,                0.86273,                0.75369,                 1.1952,                 0.8573,                0.69857,                0.82864,                0.63916,                0.96489,                  1.082,                 1.3579,              0.0010753,              0.0010753,              0.0010753
                     52,                0.85965,                0.78411,                 1.2032,                0.82453,                0.75876,                0.84197,                0.63349,                0.97419,                0.99427,                 1.3584,              0.0010682,              0.0010682,              0.0010682
                     53,                0.90302,                0.77571,                 1.2262,                0.81681,                0.78931,                0.82053,                0.62537,                 1.0599,                 1.0017,                 1.3955,              0.0010612,              0.0010612,              0.0010612
                     54,                0.79501,                0.68923,                 1.1435,                0.83942,                0.82674,                0.85037,                0.67738,                0.92838,                 1.0075,                 1.3181,              0.0010541,              0.0010541,              0.0010541
                     55,                 0.8246,                0.68044,                 1.1904,                0.83837,                0.68288,                0.82365,                0.64066,                 1.0133,                 1.1283,                 1.4347,               0.001047,               0.001047,               0.001047
                     56,                0.84366,                0.70358,                 1.1888,                0.83721,                0.72396,                0.83403,                0.65285,                 0.9574,                 1.0126,                 1.3384,                0.00104,                0.00104,                0.00104
                     57,                0.83349,                0.69299,                 1.1624,                 0.7986,                 0.7438,                 0.8009,                0.63135,                 1.0065,                  0.997,                 1.3927,              0.0010329,              0.0010329,              0.0010329
                     58,                0.84976,                0.70501,                 1.1885,                0.84317,                  0.686,                0.78883,                0.59953,                 1.0089,                 1.1053,                 1.3558,              0.0010258,              0.0010258,              0.0010258
                     59,                0.81972,                0.67797,                 1.1583,                0.77825,                0.75625,                0.80544,                0.63736,                0.98857,                 1.0264,                  1.351,              0.0010187,              0.0010187,              0.0010187
                     60,                0.82782,                 0.7534,                 1.1797,                0.82296,                0.78688,                0.82914,                 0.6619,                0.96896,                0.91901,                 1.3198,              0.0010117,              0.0010117,              0.0010117
                     61,                0.81565,                0.70558,                 1.1576,                0.81865,                0.80254,                0.84872,                0.66264,                 0.9745,                0.91081,                 1.3134,              0.0010046,              0.0010046,              0.0010046
                     62,                  0.807,                 0.6826,                  1.175,                0.87997,                0.73004,                0.82005,                0.66791,                 0.9145,                0.95414,                 1.2775,             0.00099751,             0.00099751,             0.00099751
                     63,                0.81716,                0.67378,                  1.169,                0.89105,                0.71174,                0.82621,                0.66286,                0.93029,                0.94884,                 1.3007,             0.00099044,             0.00099044,             0.00099044
                     64,                0.81034,                0.68505,                 1.1807,                0.80165,                0.73557,                0.81979,                0.66247,                0.89651,                0.93299,                 1.2704,             0.00098337,             0.00098337,             0.00098337
                     65,                0.82705,                0.69373,                 1.1725,                0.89914,                0.74283,                 0.8606,                0.67068,                0.92349,                0.92073,                  1.319,             0.00097629,             0.00097629,             0.00097629
                     66,                0.79135,                0.68072,                 1.1524,                0.83584,                0.79962,                 0.8459,                0.66591,                0.88582,                0.98892,                 1.2997,             0.00096922,             0.00096922,             0.00096922
                     67,                0.77381,                 0.6298,                 1.1498,                0.79353,                0.79341,                0.84923,                0.65379,                0.99936,                0.96055,                 1.3714,             0.00096215,             0.00096215,             0.00096215
                     68,                 0.7652,                0.60349,                 1.1407,                0.78352,                0.79612,                0.82785,                0.65426,                0.93736,                0.93543,                 1.3066,             0.00095507,             0.00095507,             0.00095507
                     69,                0.78572,                 0.6764,                  1.155,                0.76411,                0.76277,                 0.7802,                0.61773,                 0.9226,                 1.0692,                 1.3341,               0.000948,               0.000948,               0.000948
                     70,                 0.7869,                0.66331,                 1.1477,                0.89621,                0.74929,                0.83906,                0.65717,                0.93732,                 0.9227,                 1.3174,             0.00094093,             0.00094093,             0.00094093
                     71,                0.78497,                0.64438,                 1.1571,                0.84566,                0.75958,                0.82702,                0.65043,                0.94046,                 1.0196,                  1.335,             0.00093385,             0.00093385,             0.00093385
                     72,                0.77734,                 0.6259,                 1.1762,                0.78112,                0.75707,                 0.7973,                0.63854,                0.95052,                 1.1121,                 1.3539,             0.00092678,             0.00092678,             0.00092678
                     73,                0.74639,                0.59186,                 1.1207,                 0.8046,                0.78379,                0.82906,                0.66745,                0.92134,                0.88039,                 1.3136,              0.0009197,              0.0009197,              0.0009197
                     74,                0.81164,                0.66223,                  1.167,                0.84303,                0.78029,                 0.8325,                0.65284,                0.95312,                0.87626,                 1.3432,             0.00091263,             0.00091263,             0.00091263
                     75,                0.73897,                0.60552,                 1.1265,                 0.7864,                0.75258,                0.82829,                0.64003,                0.92825,                 1.0082,                 1.3437,             0.00090556,             0.00090556,             0.00090556
                     76,                0.76119,                0.63246,                 1.1377,                0.83514,                0.78686,                0.85741,                0.65372,                0.99223,                0.97148,                 1.4069,             0.00089848,             0.00089848,             0.00089848
                     77,                0.75207,                0.60267,                 1.1286,                0.83847,                0.78388,                0.84443,                0.66339,                0.90959,                0.92596,                  1.315,             0.00089141,             0.00089141,             0.00089141
                     78,                0.77321,                0.60675,                 1.1165,                0.80678,                0.80321,                0.84684,                0.65917,                0.97666,                0.96026,                 1.3484,             0.00088434,             0.00088434,             0.00088434
                     79,                0.78828,                0.61108,                 1.1424,                0.88914,                0.72159,                0.83046,                0.62579,                 1.0058,                 1.0056,                 1.4206,             0.00087726,             0.00087726,             0.00087726
                     80,                0.77944,                0.62003,                 1.1609,                0.84328,                0.75229,                0.84306,                0.65944,                0.99298,                0.94362,                 1.4149,             0.00087019,             0.00087019,             0.00087019
                     81,                0.77802,                0.62066,                  1.132,                0.90288,                0.73803,                 0.8385,                0.66026,                0.95912,                0.93322,                 1.3831,             0.00086312,             0.00086312,             0.00086312
                     82,                0.73301,                0.58107,                 1.1142,                0.82367,                 0.7787,                0.83719,                 0.6637,                0.92775,                 0.8922,                 1.3392,             0.00085604,             0.00085604,             0.00085604
                     83,                0.74417,                0.60184,                 1.1351,                0.86009,                  0.794,                 0.8498,                0.65945,                0.96213,                0.92581,                 1.3908,             0.00084897,             0.00084897,             0.00084897
                     84,                0.75752,                0.59725,                 1.1237,                0.80788,                0.80428,                0.86991,                0.65518,                0.96765,                0.92911,                 1.3539,              0.0008419,              0.0008419,              0.0008419
                     85,                0.76619,                0.63157,                  1.139,                0.90646,                0.75973,                0.82546,                0.62937,                 1.0156,                 1.0832,                  1.389,             0.00083482,             0.00083482,             0.00083482
                     86,                0.76321,                 0.5871,                  1.145,                0.84802,                0.77188,                 0.8429,                0.66376,                0.90117,                0.90135,                  1.306,             0.00082775,             0.00082775,             0.00082775
                     87,                0.73974,                0.57754,                 1.1228,                0.81053,                 0.7763,                0.83036,                0.62286,                 1.0413,                0.98838,                 1.3988,             0.00082067,             0.00082067,             0.00082067
                     88,                0.72926,                0.59326,                 1.1117,                0.88261,                0.77017,                 0.8412,                0.67863,                 0.9565,                0.88623,                  1.353,              0.0008136,              0.0008136,              0.0008136
                     89,                0.71302,                0.56853,                  1.108,                0.92013,                0.71931,                0.84275,                0.67098,                0.96176,                0.89149,                 1.3673,             0.00080653,             0.00080653,             0.00080653
                     90,                0.75833,                0.58458,                 1.1465,                0.85751,                0.71062,                0.80587,                0.63212,                0.98477,                0.95121,                 1.4067,             0.00079945,             0.00079945,             0.00079945
                     91,                0.75084,                0.60764,                 1.1413,                 0.8758,                0.75958,                0.83093,                0.64821,                0.94485,                0.87761,                 1.3972,             0.00079238,             0.00079238,             0.00079238
                     92,                0.72797,                0.56834,                 1.0951,                0.84423,                0.74649,                0.81738,                0.64761,                 1.0072,                0.96491,                 1.5068,             0.00078531,             0.00078531,             0.00078531
                     93,                0.73229,                0.58307,                 1.1204,                0.86602,                0.75831,                0.80143,                0.64723,                0.95142,                0.92007,                 1.3733,             0.00077823,             0.00077823,             0.00077823
                     94,                0.71115,                0.58051,                 1.1021,                 0.8509,                0.78454,                 0.8307,                0.67463,                0.93474,                0.81877,                  1.361,             0.00077116,             0.00077116,             0.00077116
                     95,                0.75454,                0.58725,                 1.1123,                0.93384,                0.73847,                0.85622,                 0.6745,                0.97895,                0.82218,                 1.3734,             0.00076409,             0.00076409,             0.00076409
                     96,                0.75223,                0.59804,                 1.1472,                0.88535,                0.77846,                0.85891,                0.66256,                 0.9677,                0.83648,                  1.358,             0.00075701,             0.00075701,             0.00075701
                     97,                0.70257,                0.56104,                 1.1059,                0.88831,                0.77597,                0.85192,                 0.6821,                0.89133,                0.79862,                 1.2939,             0.00074994,             0.00074994,             0.00074994
                     98,                0.70314,                0.55284,                 1.1289,                0.82496,                0.77429,                0.83337,                0.66175,                0.94333,                0.83452,                 1.3413,             0.00074287,             0.00074287,             0.00074287
